"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1650.51059800665","1471.08617337371","871.697167208067","813.829811325128","878.530222992876","958.506238251081","1030.46392228014","1076.62503878963","1164.28221872868","1210.36239501591","1289.88425211857","1422.47665422275","1619.11218921002","1855.59682694565","2062.20323329876","2364.175934724","2697.01898320572","3093.36933999173","3335.24416355048","2884.33947038119","2958.83899907802","3098.74230423071","3312.9800082494","3406.53611767826","3511.2250593094","3607.28929855361","3601.46966358115","3860.21805793624","4051.38496692373","4350.46619774208","4021.0462641001","4243.23788012921",
"American Samoa","ASM","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12609.3685211188","12641.6678802311","12653.2818390598","12628.5076571075","12202.7373674641","12586.7160375183","12439.1497226866","12092.2765062614","12256.3428575784","12328.6652824756","11812.4591111668","11507.2256511128","11694.5453868794","12059.6351646776","11871.3595493939","11066.0601740887","11393.6056572867","11368.5695800312","11839.0105004877","",
"Antigua and Barbuda","ATG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","5570.43204586907","5826.24117517896","6306.13508481823","6830.3985726907","7099.23534999901","7094.30445670251","7474.96509524451","8234.12855041634","8863.38488340745","9887.08789366533","10549.2467099923","11091.1202858542","11626.7787685746","11876.1994030616","11975.7403143642","11908.4931735434","12286.0333441018","12828.6104410898","12006.518606977","12525.1679394273","12928.4417653462","13260.4942874684","13484.1864626965","14069.5148408067","13220.0448316627","13170.6260108089","13792.5009167708","14399.8207214034","15122.1856098317","16785.7470478675","18062.4656633866","17771.193163252","15401.9686409802","13986.8408888484","13525.4449097176","13802.7074917283","13554.4013958157","13908.9916265529","14285.3297773091","14919.2060476269","15242.3730650282","16146.5927471262","16786.4474314205","13285.6447420337","13872.5821630647",
"Australia","AUS","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","19953.2063391233","20045.8436572101","19815.7495923857","20647.4859468336","21659.1520578829","22509.0974044746","22525.0519937315","23644.6004905653","24414.7801364538","25593.1263966241","26894.5064781818","27040.5102887513","27585.782806075","27878.8169473623","28297.9448224226","28325.0160604625","28769.1030094732","29468.8424715425","29388.5743635266","30250.3700609242","30790.9684924934","31318.0837448787","31823.6227486897","30729.8075830818","31780.2585285748","32995.138056256","33767.1612179806","34104.8306330869","35478.4267523247","36231.0161797299","36974.4509255049","36361.9422733113","36072.0398069721","37161.6791478602","38234.029887488","39223.1607674505","40203.3023270116","41309.8259685443","42767.7939690644","44369.2728270564","45558.753131278","45864.7680331103","47127.2781005515","47997.1371388983","49439.1222880846","50332.8748422221","50948.2249676411","52538.9755805727","53338.6027837258","53225.9510414936","53542.8337248074","54108.1110551111","55254.6062126847","55723.9482270935","56305.9790936359","56707.0220772116","57358.7827974217","57695.5712591341","58447.2526505317","58781.0466570626","58029.5155258862","58780.3330605266",
"Austria","AUT","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","12051.1511700385","12648.9746969392","12904.669883596","13352.6511315776","14076.2761631952","14471.8213231195","15181.5887613761","15521.8096470115","16132.0095204536","17085.3299659169","18101.9919477322","18943.1811467755","20002.5561105758","20864.8474583279","21650.4867976498","21629.0463028275","22659.317777419","23801.2675449624","23770.3662432365","25086.400193858","25520.74055574","25419.0096476102","25911.6609400039","26725.1907228527","26740.5772417596","27395.8726479906","28008.5545890344","28370.7178819139","29264.3235778252","30265.1932308117","31340.6812927165","32097.2410936755","32410.53977326","32313.7118722637","32962.8174189767","33790.4849857504","34537.7395746518","35220.8877426259","36442.2882333384","37664.9432792116","38842.8905195831","39184.8085972636","39636.4826114521","39815.2219533064","40651.2266155811","41281.2707559522","42496.3510516831","43937.7128905744","44440.055889928","42655.1921304813","43334.5089644691","44451.0001918473","44549.881698231","44299.3781845446","44245.1687398338","44195.8175947748","44590.2516278164","45281.723399938","46188.9665119872","46669.7512148406","43346.4318485062","45090.7589046514",
"Azerbaijan","AZE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2820.74099098764","2763.97687589073","2107.22274287282","1596.07658448422","1264.48275919291","1102.45915308008","1105.54839675385","1158.44095359684","1262.24753566415","1343.80872142981","1480.75666152969","1614.79211934996","1754.07360862574","1918.54362529929","2077.8122625974","2631.75898094917","3501.04180925969","4326.96156868441","4692.91218530787","5023.79077008268","5215.0209146409","5152.65745405188","5194.73838966177","5425.90529208285","5505.98823266036","5500.31038244408","5270.55297483365","5229.5261405359","5262.18380792188","5348.26526707105","5083.3816401988","5340.49042271556",
"Burundi","BDI","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","285.402951551976","241.466495990637","258.379662183918","263.882405184054","274.702016921303","279.315970442025","285.185572130914","316.34892968967","307.493837223995","296.173469043422","352.604318258676","357.062724539556","330.483991239457","349.776128382861","343.300232091842","340.609968838994","360.839273873032","393.504103084513","380.444108294041","377.042613337452","371.0652343089","405.544122782023","390.899266608198","394.802065733094","384.844106889208","418.443300759565","420.027218557819","430.76566254501","440.046265653706","434.356978601737","438.657294894459","450.150975461899","445.048954068237","409.182509994816","386.779268907969","350.906808447834","318.941890816152","310.691059686339","322.111351909549","314.708025069672","306.545885840005","305.815981693508","310.906180394878","297.987689895437","302.6439803845","295.699930791387","301.752654373183","302.069035257729","306.468825334535","307.865500122352","313.272354980613","315.617157211044","319.398285661768","324.787716856309","328.105829272652","305.511144099475","294.181824292366","286.395458977172","281.934731740358","278.202597686734","270.657674408175","267.319065788321",
"Belgium","BEL","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","11734.306170839","12277.6347194523","12866.2287658556","13326.1132693154","14118.902318486","14489.4450965924","14846.0973473565","15334.7678862416","15915.1956538995","16922.3543777831","17849.4947135456","18527.1487401867","19432.03103295","20607.1809135777","21480.261317053","20997.2068325293","22144.5236139589","22255.6844094244","22866.8232310329","23381.1272443226","24393.2981775195","24325.8132752066","24477.1998826276","24555.480969759","25161.4909793831","25569.4893301131","26026.2804981502","26603.9280981301","27772.0520454683","28631.3190930238","29441.6621481593","29870.1477747077","30204.5637515713","29797.4063198776","30664.3078546408","31329.892072751","31681.9363634502","32804.3605402361","33376.5748398965","34479.9064484695","35674.7912530713","35943.2379602838","36393.2417665704","36617.3803840227","37761.2813189981","38426.0519083731","39147.7635597291","40290.2277563956","40151.8498740394","39025.2207908291","39777.9252767366","39929.0951439359","39975.5736402458","39970.3174974794","40421.4207919096","41008.296719472","41318.0196388476","41825.7628316432","42403.533592766","43065.5150654148","40424.6388411871","42787.2951894481",
"Benin","BEN","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","679.021665654119","690.624569915945","657.092817969046","677.357251013495","710.367195868452","734.788717912924","746.93355021837","740.318503134417","753.265305310052","758.882811333378","758.392636528951","730.918929747274","760.769307453788","771.197722316829","778.515173818909","722.772791166296","711.300936568619","727.98536909815","718.194237053137","745.13344729864","774.552097144591","828.697950369547","824.012209950838","766.291097846027","803.802055546677","839.74890337104","833.436318922149","797.266042856087","800.141755470771","753.5699688402","795.071652666986","801.150911474166","796.642875485553","814.131301806433","802.606190034558","823.549283721719","832.556413755814","854.042875883077","861.987074911252","881.619417821179","905.826269477766","925.716073006309","939.661663938261","942.918587867681","955.534214100597","943.629311658903","952.831227239232","981.455745386847","1000.85148547198","995.694206530851","988.610785491437","989.767354468482","1008.76630305255","1051.55191568071","1087.7199573567","1076.79669785585","1082.4512883575","1112.81709413435","1155.31316796067","1201.56138386125","1214.65958680899","1260.73460863204",
"Burkina Faso","BFA","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","241.605499699643","248.022636753121","259.73447922488","252.999066596367","255.167186239018","260.885391131842","258.221862230885","276.447620125302","280.163973592459","280.973432527908","276.479981538648","275.548069407748","276.990801227499","273.294243724754","290.572914707782","293.717027048594","312.714753410094","307.74640731383","315.425654450033","320.082291760033","315.484031490476","321.265287546564","343.47399166561","336.086729732168","321.766278152077","340.286134573831","357.964120229541","347.931806641181","358.571430225451","356.740005080587","345.284156490189","366.653659447776","357.742251994468","360.230660779289","355.14841952624","365.280535215557","394.457258469241","407.860731461006","425.569179091906","444.322529069177","440.028405006332","455.907655355864","462.265599178223","484.097060995891","491.184674638144","518.167867222496","534.356717912913","539.820017460504","554.11212121081","553.51667450959","582.415734139013","602.579146921484","622.519711182775","639.232921274197","647.428702154053","653.32726813947","672.363039910892","693.72643925639","718.642559523889","738.21890116854","731.522070723226","760.440926573559",
