Country Name;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
IDA only;725.626854892796;739.851013627555;749.95698248726;766.840833623573;792.424830565963;821.506496821882;852.48011007915;884.440098271197;914.551850812729;929.461229978964;965.397756310359;974.702599894106;963.985252768037;989.893454030392;1019.24897152111;1024.88610468594;
Isle of Man;45506.469121354;47491.6299118676;50042.6314289253;52668.5910459512;54963.4873413961;57642.3417605822;61324.6777495;65025.6392324003;67306.1069115318;68015.8806561877;69933.0832378376;71304.0147579231;76833.1981293282;80538.4642288291;85194.6243844763;85126.9704694293;
India;757.668747182558;780.606234028334;796.724785582021;845.274844474197;897.628232696276;953.567972961256;1014.62764066233;1075.99408734074;1093.07655122556;1162.49880786308;1244.3660155716;1292.8212056402;1346.67591021735;1415.82872156692;1503.42150701848;1605.60544457087;
Not classified;;;;;;;;;;;;;;;;;
Ireland;41623.0575084996;43138.617124071;44918.8073486622;45523.0558187584;47731.4846410931;49381.7755753264;50462.2653436861;51625.2760745685;48313.9670542074;45386.4051550981;45932.0137432932;46220.8132201209;46001.2732869361;46339.4692980018;50010.4342080433;62012.4849258149;
Iraq;4337.41717160904;4284.25989761285;3818.84536842207;2351.71273723413;3515.346792408;3493.34474229473;3619.88590634195;3626.94588448514;3859.75817355176;3909.29158217552;4052.06261269704;4218.38236927388;4630.73652175022;4793.53939165684;4627.83481807872;4688.31801743466;
Iceland;42174.6650584696;43288.0763046335;43143.4605797013;43763.7756121132;46766.0168708212;48850.7658634924;50731.6906881713;53646.3690202759;53821.4708222101;49527.3988280929;48193.7014041013;48933.5456614347;49191.574417162;50946.8162625339;51233.2440468041;52951.6815110898;
Israel;28747.9291094843;28106.945117755;27492.5619980346;27310.9659417737;28151.2718888462;28809.642505737;29939.9371867502;31207.6019852719;31718.4891470531;31323.3120124407;32504.7133534789;33678.1314599762;33995.4276914732;34960.9433583276;35710.8862671424;35808.4364289727;
Italy;32350.9043668747;32963.6706090266;32998.2031900081;32897.3907788976;33150.4762169416;33257.7698032684;33751.7000191328;34081.0903298709;33530.3601449597;31615.2708145085;32058.1739940798;32229.4567910904;31184.5584255896;30257.6274259351;29979.9187217358;30242.3861352184;
Jamaica;4841.31570043105;4869.72570558946;4933.53433435619;5083.08817061975;5120.92944772775;5138.44741044079;5259.74809552396;5308.44033225484;5239.53282441295;4986.81649379281;4888.57913805639;4945.94884588445;4887.58695088568;4884.39200000689;4889.9863087386;4907.927415189;
